h_ratio, q_ratio
0.0, 1.00000
0.08741, 1.00000
0.16388, 1.00000
0.21345, 1.00000
0.31262, 1.00000
0.36471, 1.00000
0.40166, 0.99667
0.38655, 0.99917
0.41508, 0.99417
0.43018, 0.99083
0.44277, 0.98833
0.45536, 0.98667
0.47046, 0.98333
0.48555, 0.97917
0.50232, 0.97500
0.51574, 0.97167
0.52915, 0.96833
0.54592, 0.96333
0.56268, 0.95833
0.57945, 0.95333
0.60794, 0.94417
0.64314, 0.93250
0.66491, 0.92333
0.68667, 0.91333
0.71345, 0.90000
0.73436, 0.88833
0.75358, 0.87500
0.77028, 0.86250
0.78531, 0.85083
0.80282, 0.83500
0.81947, 0.81667
0.83278, 0.80000
0.84523, 0.78167
0.85681, 0.76000
0.86422, 0.74167
0.87243, 0.71833
0.87817, 0.70167
0.88389, 0.68167
0.88877, 0.66333
0.89362, 0.64000
0.90256, 0.60333
0.91062, 0.56333
0.91789, 0.52833
0.92355, 0.50167
0.92994, 0.46167
0.93718, 0.42333
0.94433, 0.37500
0.95471, 0.31000
0.96110, 0.27000
0.96746, 0.22667
0.97459, 0.17500
0.98327, 0.10833
0.98884, 0.07167
0.99278, 0.04000
0.99517, 0.02417
1, 0.0
